label,label_numeric,subject,body,combined_text
Phishing,1,IRS notification - Refund pending,Your tax refund is ready. Click here to claim: http://irs-refund.com/claim,IRS notification - Refund pending Your tax refund is ready. Click here to claim: http://irs-refund.com/claim
Phishing,1,Package delivery failed,We couldn't deliver your package. Click here to reschedule: http://delivery-reschedule.com/package,Package delivery failed We couldn't deliver your package. Click here to reschedule: http://delivery-reschedule.com/package
Phishing,1,Your delivery is waiting,Click here to track and confirm your delivery: http://track-delivery.com/confirm,Your delivery is waiting Click here to track and confirm your delivery: http://track-delivery.com/confirm
Phishing,1,Someone tagged you in a photo,View the photo here: http://social-media.com/view-photo,Someone tagged you in a photo View the photo here: http://social-media.com/view-photo
Phishing,1,Your account needs verification,Verify your social media account to continue: http://verify-social.com/account,Your account needs verification Verify your social media account to continue: http://verify-social.com/account
Phishing,1,Urgent: Your account will be suspended,Click here immediately to verify your account or it will be locked. http://fake-bank.com/verify,Urgent: Your account will be suspended Click here immediately to verify your account or it will be locked. http://fake-bank.com/verify
Phishing,1,URGENT ACTION REQUIRED,Your account will be closed in 24 hours unless you verify your identity now. Click here: http://verify-now.com/urgent,URGENT ACTION REQUIRED Your account will be closed in 24 hours unless you verify your identity now. Click here: http://verify-now.com/urgent
Phishing,1,Immediate attention needed,We detected suspicious login attempts. Verify your account immediately: http://secure-verify.com/login,Immediate attention needed We detected suspicious login attempts. Verify your account immediately: http://secure-verify.com/login
Phishing,1,Account suspension notice,Your account has been flagged for suspicious activity. Click here to prevent suspension: http://account-verify.com/secure,Account suspension notice Your account has been flagged for suspicious activity. Click here to prevent suspension: http://account-verify.com/secure
Phishing,1,"You won $1,000,000!",Congratulations! You have won a prize. Click this link to claim your money: http://scam.com/claim,"You won $1,000,000! Congratulations! You have won a prize. Click this link to claim your money: http://scam.com/claim"
Phishing,1,Congratulations! You're a winner!,"You've been selected to receive $50,000! Claim your prize now: http://prize-winner.com/claim","Congratulations! You're a winner! You've been selected to receive $50,000! Claim your prize now: http://prize-winner.com/claim"
Phishing,1,Free gift card - Claim now!,You've been selected for a free $500 gift card! Claim it here: http://scam-gift.com/claim,Free gift card - Claim now! You've been selected for a free $500 gift card! Claim it here: http://scam-gift.com/claim
Phishing,1,You've won an iPhone!,Congratulations! You won our latest iPhone. Click here to claim: http://free-phone.com/win,You've won an iPhone! Congratulations! You won our latest iPhone. Click here to claim: http://free-phone.com/win
Phishing,1,Password reset required,Your password needs to be reset. Please click here to update: http://phishing-site.com/reset,Password reset required Your password needs to be reset. Please click here to update: http://phishing-site.com/reset
Phishing,1,Reset your password immediately,We noticed unusual activity. Reset your password now: http://reset-password.com/urgent,Reset your password immediately We noticed unusual activity. Reset your password now: http://reset-password.com/urgent
Phishing,1,Password change notification,"Your password was changed. If this wasn't you, click here: http://secure-account.com/verify","Password change notification Your password was changed. If this wasn't you, click here: http://secure-account.com/verify"
Phishing,1,Account verification needed,Verify your account to continue using our services. Click here: http://verify-account.com/now,Account verification needed Verify your account to continue using our services. Click here: http://verify-account.com/now
